Fecha;País;Marca;Cliente;Ingresos;Gastos
1/01/2020;Chill;NexTec;Instituciones educativas;4613,76;$3456
1/01/2020;Chile;Innovatech;Consumidores finales;33615,00;$14566,5
1/01/2020;Chile;Cybernova;Sector público;115952,32;$86274,045
1/01/2020;   México;NeuroNet;Pequeñas y medianas empresas;132046,20;$111150
1/01/2020;Uruguay;NeuroNet;Grandes clientes;19914,88;$15398,1
3/01/2020;México;Cybernova;Sector público;598878,00;$453960
3/01/2020;Argentina;Innovatech;Pequeñas y medianas empresas;667715,40;$562050
4/01/2020;Perú;NexTec;Sector público;45046,80;$23220
4/01/2020;URUGUAY;Cybernova;Sector público;125697,31;$67579,2
5/01/2020;Argentina;OmegaTech;Consumidores finales;193895,31;$179245,44
5/01/2020;Uruguay;NexTec;Grandes clientes;23523,05;$18970,2
7/01/2020;México;Innovatech;Consumidores finales;249243,75;$227880
7/01/2020;México;Innovatech;Grandes clientes;4590,00;$4050
8/01/2020;Perú;Cybernova;Consumidores finales;214808,37;$184248
9/01/2020;México;NeuroNet;Pequeñas y medianas empresas;418586,45;$352345,5
10/01/2020;México;NexTec;Consumidores finales;314921,25;$304668
10/01/2020;Uruguay;Innovatech;Sector público;16599,24;$8469
11/01/2020;Argentina;NexTec;Consumidores finales;853357,59;$788881,68
11/01/2020;Uruguay;Innovatech;Pequeñas y medianas empresas;1883912,90;$1688094
13/01/2020;Uruguay;NeuroNet;Consumidores finales;39440,77;$17091
14/01/2020;México;Innovatech;Instituciones educativas;112706,10;$75137,4
14/01/2020;Perú;NexTec;Sector público;26631,36;$13315,68
15/01/2020;México;NeuroNet;Grandes clientes;68646,29;$53077,032
16/01/2020;Chile;Cybernova;Sector público;29326,35;$22524,075
17/01/2020;Chile;NeuroNet;Consumidores finales;113345,48;$96228
17/01/2020;Uruguay;OmegaTech;Pequeñas y medianas empresas;325306,80;$297900
18/01/2020;Argentina;NexTec;Instituciones educativas;30270,24;$22932
19/01/2020;Argentina;OmegaTech;Grandes clientes;37634,51;$33206,922
20/01/2020;Perú;NeuroNet;Instituciones educativas;49630,32;$33086,88
20/01/2020;Perú;Cybernova;Consumidores finales;549917,31;$354042
20/01/2020;Chile;NexTec;Grandes clientes;147622,54;$119050,4385
21/01/2020;Perú;Innovatech;Consumidores finales;271753,38;$265998,6
21/01/2020;Perú;Innovatech;Grandes clientes;17444,70;$14377,5
22/01/2020;Perú;Cybernova;Instituciones educativas;12163,00;$9009,63
23/01/2020;México;NeuroNet;Grandes clientes;3852,36;$3321
24/01/2020;México;OmegaTech;Sector público;55172,72;$30995,91
24/01/2020;Argentina;Cybernova;Grandes clientes;48100,38;$38377,962
24/01/2020;México;Innovatech;Grandes clientes;42070,30;$33927,66
26/01/2020;Argentina;NeuroNet;Pequeñas y medianas empresas;590733,00;$579150
27/01/2020;Argentina;NexTec;Sector público;92277,21;$53649,54
28/01/2020;Perú;Innovatech;Sector público;401126,99;$342505,8
28/01/2020;México;Innovatech;Sector público;118571,07;$68936,67
29/01/2020;Chile;OmegaTech;Sector público;721299,60;$615888
29/01/2020;Uruguay;Cybernova;Pequeñas y medianas empresas;547649,10;$490725
30/01/2020;Argentina;NexTec;Consumidores finales;311139,07;$301008,96
30/01/2020;Chile;NexTec;Sector público;2784216,46;$2377327,68
31/01/2020;Argentina;Cybernova;Instituciones educativas;16854,08;$11236,05
31/01/2020;Argentina;NexTec;Instituciones educativas;99493,07;$76239,9
31/01/2020;Perú;OmegaTech;Instituciones educativas;72371,63;$56102,04
31/01/2020;Chile;NexTec;Sector público;67229,73;$34654,5
31/01/2020;Uruguay;Cybernova;Sector público;14776,78;$12132
1/02/2020;Uruguay;Innovatech;Sector público;8308,57;$6313,5
1/02/2020;Argentina;OmegaTech;Sector público;821303,85;$670452,12
3/02/2020;Perú;NeuroNet;Consumidores finales;99069,23;$85860
3/02/2020;Argentina;NeuroNet;Grandes clientes;14346,88;$11092,95
5/02/2020;Argentina;NeuroNet;Sector público;81841,97;$43074,72
